table,device,orientation,R1,R2,inclination_deg,effective_SC,source_pdf_page
C14,horizontal_projection,North-East & North-West,0.4,,50,0.6799,44
C14,horizontal_projection,North-East & North-West,0.5,,0,0.7171,44
C14,horizontal_projection,North-East & North-West,0.5,,10,0.6824,44
C14,horizontal_projection,North-East & North-West,0.5,,20,0.6546,44
C14,horizontal_projection,North-East & North-West,0.5,,30,0.6345,44
C14,horizontal_projection,North-East & North-West,0.5,,40,0.6228,44
C14,horizontal_projection,North-East & North-West,0.5,,50,0.6198,44
C14,horizontal_projection,North-East & North-West,0.6,,0,0.6787,44
C14,horizontal_projection,North-East & North-West,0.6,,10,0.6443,44
C14,horizontal_projection,North-East & North-West,0.6,,20,0.6165,44
C14,horizontal_projection,North-East & North-West,0.6,,30,0.5946,44
C14,horizontal_projection,North-East & North-West,0.6,,40,0.5793,44
C14,horizontal_projection,North-East & North-West,0.6,,50,0.5710,44
C14,horizontal_projection,North-East & North-West,0.7,,0,0.6549,44
C14,horizontal_projection,North-East & North-West,0.7,,10,0.6166,44
C14,horizontal_projection,North-East & North-West,0.7,,20,0.5842,44
C14,horizontal_projection,North-East & North-West,0.7,,30,0.5587,44
C14,horizontal_projection,North-East & North-West,0.7,,40,0.5420,44
C14,horizontal_projection,North-East & North-West,0.7,,50,0.5320,44
C14,horizontal_projection,North-East & North-West,0.8,,0,0.6327,44
C14,horizontal_projection,North-East & North-West,0.8,,10,0.5889,44
C14,horizontal_projection,North-East & North-West,0.8,,20,0.5563,44
C14,horizontal_projection,North-East & North-West,0.8,,30,0.5360,44
C14,horizontal_projection,North-East & North-West,0.8,,40,0.5200,44
C14,horizontal_projection,North-East & North-West,0.8,,50,0.5088,44
C14,horizontal_projection,North-East & North-West,0.9,,0,0.6105,44
C14,horizontal_projection,North-East & North-West,0.9,,10,0.5681,44
C14,horizontal_projection,North-East & North-West,0.9,,20,0.5412,44
C14,horizontal_projection,North-East & North-West,0.9,,30,0.5184,44
C14,horizontal_projection,North-East & North-West,0.9,,40,0.5026,44
